b_A,mu,c,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.25,0.001,0.0001,100.0,372.0,628.0,0.9985816174928124,38.299838396464956,1.3650378124604626e-06,311.92408174811766
0.25,0.001,0.0001,1000.0,326.0,674.0,0.9985697148621719,47.20868760435827,1.2791753686566494e-06,528.7285721142308
0.25,0.001,0.003,10.0,512.0,488.0,0.9984679120400716,11.927279987656295,4.3116264250606475e-05,60.46367047618404
0.25,0.001,0.003,100.0,767.0,233.0,0.9975376222589709,15.066453805600457,6.019584279404191e-05,169.2376466006584
0.25,0.001,0.003,1000.0,954.0,46.0,0.9990168787557441,20.866609782548718,2.140111991035888e-05,375.0382785427051
0.25,0.001,0.001,10.0,426.0,574.0,0.9986522541733392,19.27045989863193,1.827489335226583e-05,71.30683841978264
0.25,0.001,0.001,100.0,598.0,402.0,0.9984532569067054,23.846884159829923,1.9163488205295705e-05,185.3095028739223
0.25,0.001,0.001,1000.0,826.0,174.0,0.998791472310946,33.65206352643995,9.870984166588313e-06,375.5743227900493
0.3,0.0,0.0003,10.0,331.0,669.0,1.0,22.69318361893476,0.0,44.3716043259604
0.3,0.0,0.0003,100.0,409.0,591.0,1.0,23.83828741581174,0.0,45.34050409228994
0.3,0.0,0.0003,1000.0,740.0,260.0,1.0,26.750185075852848,0.0,47.482821474802904
0.3,0.0,0.0001,10.0,309.0,691.0,1.0,28.13057918730433,0.0,40.95976817767727
0.3,0.0,0.0001,100.0,373.0,627.0,1.0,28.375047754753407,0.0,42.057817118781465
0.3,0.0,0.0001,1000.0,543.0,457.0,1.0,31.52925883715979,0.0,39.69740447526156
0.3,0.0,0.003,10.0,395.0,605.0,1.0,10.654357558685996,0.0,39.286788544255636
0.3,0.0,0.003,100.0,711.0,289.0,1.0,11.361406199138747,0.0,42.4650625118016
0.3,0.0,0.003,1000.0,953.0,47.0,1.0,15.043825238813268,0.0,86.72430248648547
0.3,0.0,0.001,10.0,371.0,629.0,1.0,16.895672415851788,0.0,45.73426718076787
0.3,0.0,0.001,100.0,551.0,449.0,1.0,18.846327108089138,0.0,61.04276415469792
