b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.001,0.001,1.5,10.0,1000,0,0.0,0.5074848715533486,0.0,0.2278193315232531
0.11,0.0,0.001,0.001,1.5,100.0,1000,0,0.0,0.03601053201366617,0.0,0.0013069487426019
0.11,0.0,0.001,0.001,1.5,1000.0,1000,0,0.0,0.0008517965897706861,0.0,7.937270495167786e-07
0.11,0.0,0.001,0.001,2.0,10.0,1000,0,0.0,0.5439570676416535,0.0,0.27969194931126484
0.11,0.0,0.001,0.001,2.0,100.0,1000,0,0.0,0.036864032611453226,0.0,0.0012801391318699466
0.11,0.0,0.001,0.001,2.0,1000.0,1000,0,0.0,0.0008357906761659005,0.0,7.251637746156199e-07
0.11,0.0,0.001,0.1,0.1,10.0,1000,0,0.0,0.34146429169069037,0.0,0.1098501985013971
0.11,0.0,0.001,0.1,0.1,100.0,1000,0,0.0,0.026877443613898287,0.0,0.0007800514026356887
0.11,0.0,0.001,0.1,0.1,1000.0,1000,0,0.0,0.0007929869281772256,0.0,6.35824211751593e-07
0.11,0.0,0.001,0.1,0.5,10.0,1000,0,0.0,0.3606702064923173,0.0,0.1277684315650059
0.11,0.0,0.001,0.1,0.5,100.0,1000,0,0.0,0.027881510791896998,0.0,0.0007675796224015491
0.11,0.0,0.001,0.1,0.5,1000.0,1000,0,0.0,0.0008038913202250971,0.0,6.859901216068149e-07
0.11,0.0,0.001,0.1,1.0,10.0,1000,0,0.0,0.367398370395587,0.0,0.13958976864432915
0.11,0.0,0.001,0.1,1.0,100.0,1000,0,0.0,0.025599394955660097,0.0,0.00072633369978197
0.11,0.0,0.001,0.1,1.0,1000.0,1000,0,0.0,0.0007662567946482283,0.0,6.502836666691643e-07
0.11,0.0,0.001,0.1,1.5,10.0,1000,0,0.0,0.3422450264739872,0.0,0.11802570291410662
0.11,0.0,0.001,0.1,1.5,100.0,1000,0,0.0,0.027309410794367685,0.0,0.0007040141862491128
0.11,0.0,0.001,0.1,1.5,1000.0,1000,0,0.0,0.0007923856082021272,0.0,6.385104772046888e-07
0.11,0.0,0.001,0.1,2.0,10.0,1000,0,0.0,0.350945129431174,0.0,0.10892925496370726
0.11,0.0,0.001,0.1,2.0,100.0,1000,0,0.0,0.02617291191064162,0.0,0.0006799487919983717
0.11,0.0,0.001,0.1,2.0,1000.0,1000,0,0.0,0.0007827548161384741,0.0,6.42725471149763e-07
0.11,0.0,0.001,1.0,0.1,10.0,1000,0,0.0,0.08061786388342665,0.0,0.007300831564941398
0.11,0.0,0.001,1.0,0.1,100.0,1000,0,0.0,0.008238486692848355,0.0,6.019941851413498e-05
0.11,0.0,0.001,1.0,0.1,1000.0,1000,0,0.0,0.0004548651220269608,0.0,2.131357854430298e-07
0.11,0.0,0.001,1.0,0.5,10.0,1000,0,0.0,0.08272549460900326,0.0,0.0069359243299440786
0.11,0.0,0.001,1.0,0.5,100.0,1000,0,0.0,0.007831527279181088,0.0,6.070606859198194e-05
0.11,0.0,0.001,1.0,0.5,1000.0,1000,0,0.0,0.0004440611947451315,0.0,2.0458737028434197e-07
0.11,0.0,0.001,1.0,1.0,10.0,1000,0,0.0,0.08515788268487642,0.0,0.007712598475906458
0.11,0.0,0.001,1.0,1.0,100.0,1000,0,0.0,0.007972818341828525,0.0,6.406569731041615e-05
0.11,0.0,0.001,1.0,1.0,1000.0,1000,0,0.0,0.0004447460136072614,0.0,2.206686744901764e-07
0.11,0.0,0.001,1.0,1.5,10.0,1000,0,0.0,0.09075115822559611,0.0,0.008333694217710649
0.11,0.0,0.001,1.0,1.5,100.0,1000,0,0.0,0.00786382936865302,0.0,6.74280318272004e-05
0.11,0.0,0.001,1.0,1.5,1000.0,1000,0,0.0,0.00045421078721415576,0.0,2.106436166679556e-07
0.11,0.0,0.001,1.0,2.0,10.0,1000,0,0.0,0.08223877260489779,0.0,0.0074412900807906655
0.11,0.0,0.001,1.0,2.0,100.0,1000,0,0.0,0.008554011437282832,0.0,6.970180809373944e-05
0.11,0.0,0.001,1.0,2.0,1000.0,1000,0,0.0,0.00044846134411646356,0.0,1.8914397576959217e-07
0.11,1e-05,0.0003,1e-05,0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,0.001,0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,0.001,0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,0.001,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,0.001,0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,0.001,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,0.001,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
